,Decibels,Location,Latitude,Longitude,Volume Category
150,90.50177,"[u'-73.985565,', u'40.699384,']",40.69938,-73.985565,Loud: > 90 decibles
151,92.029846,"[u'-73.985979,', u'40.699548,']",40.69954,-73.985979,Loud: > 90 decibles
152,91.94931,"[u'-73.986298,', u'40.699873,']",40.69987,-73.986298,Loud: > 90 decibles
153,92.421394,"[u'-73.986476,', u'40.700247,']",40.70024,-73.986476,Loud: > 90 decibles
154,94.718292,"[u'-73.986728,', u'40.70059,']",40.70059,-73.986728,Loud: > 90 decibles
155,95.192741,"[u'-73.986895,', u'40.700996,']",40.70099,-73.986895,Loud: > 90 decibles
156,94.615059,"[u'-73.987052,', u'40.701275,']",40.70127,-73.987052,Loud: > 90 decibles
157,94.829582,"[u'-73.98721,', u'40.701554,']",40.70155,"-73.98721,",Loud: > 90 decibles
158,94.203964,"[u'-73.987234,', u'40.702013,']",40.70201,-73.987234,Loud: > 90 decibles
159,92.366295,"[u'-73.98758,', u'40.702332,']",40.70233,"-73.98758,",Loud: > 90 decibles
160,92.025101,"[u'-73.987723,', u'40.702705,']",40.70270,-73.987723,Loud: > 90 decibles
161,93.422707,"[u'-73.987998,', u'40.703056,']",40.70305,-73.987998,Loud: > 90 decibles
162,91.794746,"[u'-73.988159,', u'40.703224,']",40.70322,-73.988159,Loud: > 90 decibles
163,93.447906,"[u'-73.988325,', u'40.703547,']",40.70354,-73.988325,Loud: > 90 decibles
164,94.07296,"[u'-73.988463,', u'40.703929,']",40.70392,-73.988463,Loud: > 90 decibles
165,94.067131,"[u'-73.988621,', u'40.704191,']",40.70419,-73.988621,Loud: > 90 decibles
166,92.392822,"[u'-73.988793,', u'40.704439,']",40.70443,-73.988793,Loud: > 90 decibles
167,93.707329,"[u'-73.989042,', u'40.704694,']",40.70469,-73.989042,Loud: > 90 decibles
168,94.441032,"[u'-73.989147,', u'40.704921,']",40.70492,-73.989147,Loud: > 90 decibles
169,93.281448,"[u'-73.989405,', u'40.70539,']",40.70539,-73.989405,Loud: > 90 decibles
170,94.152374,"[u'-73.989581,', u'40.705781,']",40.70578,-73.989581,Loud: > 90 decibles
171,95.025536,"[u'-73.989793,', u'40.706153,']",40.70615,-73.989793,Loud: > 90 decibles
172,93.830513,"[u'-73.990052,', u'40.706543,']",40.70654,-73.990052,Loud: > 90 decibles
173,93.833733,"[u'-73.990311,', u'40.706887,']",40.70688,-73.990311,Loud: > 90 decibles
174,94.363426,"[u'-73.990468,', u'40.707228,']",40.70722,-73.990468,Loud: > 90 decibles
175,94.078873,"[u'-73.99061,', u'40.707581,']",40.70758,"-73.99061,",Loud: > 90 decibles
176,93.618507,"[u'-73.990844,', u'40.707872,']",40.70787,-73.990844,Loud: > 90 decibles
177,90.951683,"[u'-73.991165,', u'40.708214,']",40.70821,-73.991165,Loud: > 90 decibles
178,92.795502,"[u'-73.991554,', u'40.709153,']",40.70915,-73.991554,Loud: > 90 decibles
179,93.956665,"[u'-73.991838,', u'40.709818,']",40.70981,-73.991838,Loud: > 90 decibles
180,92.249596,"[u'-73.99213,', u'40.710322,']",40.71032,"-73.99213,",Loud: > 90 decibles
181,92.054893,"[u'-73.992388,', u'40.710862,']",40.71086,-73.992388,Loud: > 90 decibles
182,91.8097,"[u'-73.992748,', u'40.71157,']",40.71157,-73.992748,Loud: > 90 decibles
183,90.953041,"[u'-73.993108,', u'40.71223,']",40.71223,-73.993108,Loud: > 90 decibles
184,92.838509,"[u'-73.993558,', u'40.713044,']",40.71304,-73.993558,Loud: > 90 decibles
185,92.775406,"[u'-73.993875,', u'40.713663,']",40.71366,-73.993875,Loud: > 90 decibles
186,94.117889,"[u'-73.994177,', u'40.714253,']",40.71425,-73.994177,Loud: > 90 decibles
